,artist,title,medium,height,width,creation_year,country,fold_ix
1,"Forbes-Robertson, Eric","In the Forest, Pont-Aven",OilPaintCanvas,905,686,1895,UK,1
2,"Stein, Ronald",Lessons of the Camp,Screenprint,940,622,1967,US,2
3,"Watson, Lyall",[no title],Lithograph,762,559,1978,Other,3
4,"Klinghoffer, Clara",The Old Troubadour,OilPaintCanvas,648,533,1926,Other,4
5,"Chaney, Israel",Untitled,Screenprint,521,521,1968,Other,5
6,"Sadler, Walter Dendy",A Good Story,OilPaintCanvas,819,622,1881,UK,1
7,"Lee, Sydney",The Top of the St Gotthard,OilPaintCanvas,762,508,1943,UK,2
8,"Bohm, Dorothy",Paris,Photograph,185,235,1970,Other,3
9,"Bell, Vanessa",Studland Beach. Verso: Group of Male Nudes by Duncan Grant,OilPaintCanvas,1016,762,1912,UK,4
10,"Bellmer, Hans",The Doll,Photograph,240,238,1936,Other,5
11,"Rosoman, Leonard","The Gothik Temple, Stowe",Lithograph,689,511,1971,UK,1
12,"Kunkel, Don",Untitled,Screenprint,79,79,1971,Other,2
13,"Nash, John",A Path through Trees,OilPaintCanvas,610,508,1915,UK,3
14,"Robinson, Frederick Cayley",Pastoral,OilPaintCanvas,1164,903,1923,UK,4
15,"Cooke, Nigel",New Accursed Art Club,OilPaintCanvas,3702,2202,2007,UK,5
16,"Kramer, Jacob",Dorothy Parker,OilPaintCanvas,641,762,1928,Other,1
17,"Braud, Jean",After the Misdeed,OilPaintCanvas,460,381,1885,Other,2
18,"Hayden, Henri",Chess Board in Ochre,OilPaintCanvas,923,736,1961,Other,3
19,"Bawden, Richard","Telfords Bridge, Conway",Lithograph,457,597,1965,UK,4
20,"Herbert, John Rogers",Laborare est Orare,OilPaintCanvas,1759,972,1862,UK,5
21,"Des Granges, David",The Saltonstall Family,OilPaintCanvas,2762,2140,1636,UK,1
22,"Sterne, Maurice",Mexican Church Interior,OilPaintCanvas,1022,1283,1934,Other,2
23,"Kneller, Sir Godfrey","Philip, 4th Lord of Wharton",OilPaintCanvas,1448,2286,1685,Other,3
24,"Friedenson, Arthur",Runswick Bay,OilPaintCanvas,1537,1025,1907,UK,4
25,"Schwarzkogler, Rudolf",3rd Action,Photograph,500,600,1965,Other,5
26,"Marquet, Albert",Bay of Naples,OilPaintCanvas,775,648,1908,Other,1
27,"Shadbolt, Jack",Begetting Green,Screenprint,352,476,1967,UK,2
28,"Leslie, George Dunlop",The Deserted Mill,OilPaintCanvas,940,1194,1906,UK,3
29,"Aumonier, James",The Black Mountains,OilPaintCanvas,1829,1219,1905,Other,4
30,"Gauguin, Paul",Harvest: Le Pouldu,OilPaintCanvas,921,730,1890,Other,5
