Title,Year,ReviewScore,MainStoryLeisure,MainStoryMedian,MainStoryRushed,CompleteLeisure,CompleteMedian,CompleteRushed
NBA 2K9 ,2008,84,0,0,0,0,0,0
Shaun White Snowboarding: Road Trip,2008,78,0,0,0,0,0,0
Rayman Raving Rabbids TV Party,2008,73,0,0,0,0,0,0
Spore Creatures,2008,65,0,0,0,0,0,0
NCAA Football 09,2008,83,0,0,0,0,0,0
NBA 2K9,2008,82,0,0,0,0,0,0
Major League Baseball 2K9,2008,64,0,0,0,0,0,0
NCAA Football 09,2008,81,0,0,0,0,0,0
skate it,2008,70,0,0,0,0,0,0
Shaun White Snowboarding,2008,60,0,0,0,0,0,0
Harvest Moon: Island of Happiness,2008,65,0,0,0,0,0,0
Tiger Woods PGA Tour 09,2008,84,0,0,0,0,0,0
SimCity Creator,2008,67,0,0,0,0,0,0
Tiger Woods PGA Tour 09,2008,82,0,0,0,0,0,0
The Sims 2: Apartment Pets,2008,50,0,0,0,0,0,0
Hot Shots Golf: Out of Bounds,2008,81,0,0,0,0,0,0
SimCity Creator,2008,69,0,0,0,0,0,0
Shaun White Snowboarding,2008,63,0,0,0,0,0,0
SingStar ABBA,2008,70,0,0,0,0,0,0
Namco Museum: Virtual Arcade,2008,63,0,0,0,0,0,0
NASCAR 09,2008,69,0,0,0,0,0,0
Summer Athletics 2009,2008,56,0,0,0,0,0,0
Shaun White Snowboarding,2008,63,0,0,0,0,0,0
NASCAR 09,2008,65,0,0,0,0,0,0
Hot Shots Golf: Open Tee 2,2008,82,0,0,0,0,0,0
NBA Ballers: Chosen One,2008,55,0,0,0,0,0,0
Facebreaker,2008,54,0,0,0,0,0,0
Beijing 2008,2008,60,0,0,0,0,0,0
Don King Presents: Prizefighter,2008,56,0,0,0,0,0,0
NHL 2K9 ,2008,69,0,0,0,0,0,0
Cabela's Dangerous Hunts 2009,2008,42,0,0,0,0,0,0
Bomberman Land,2008,57,0,0,0,0,0,0
Nitrobike,2008,49,0,0,0,0,0,0
Culdcept Saga,2008,75,0,0,0,0,0,0
Facebreaker,2008,53,0,0,0,0,0,0
MLB Power Pros 2008,2008,83,0,0,0,0,0,0
NBA 09: The Inside,2008,63,0,0,0,0,0,0
Baja: Edge of Control,2008,65,0,0,0,0,0,0
Space Invaders Extreme,2008,85,0,0,0,0,0,0
Ultimate Band,2008,69,0,0,0,0,0,0
NBA Ballers: Chosen One,2008,54,0,0,0,0,0,0
Dream Pinball 3D,2008,54,0,0,0,0,0,0
Guitar Rock Tour,2008,60,0,0,0,0,0,0
Lost in Blue 3,2008,59,0,0,0,0,0,0
NFL Head Coach 09,2008,64,0,0,0,0,0,0
NHL 2K9,2008,70,0,0,0,0,0,0
Brothers in Arms: Double Time,2008,45,0,0,0,0,0,0
MotoGP 08,2008,68,0,0,0,0,0,0
NFL Head Coach 09,2008,67,0,0,0,0,0,0
NFL Tour,2008,49,0,0,0,0,0,0
Baja: Edge of Control,2008,61,0,0,0,0,0,0
NFL Tour,2008,45,0,0,0,0,0,0
Top Spin 3,2008,78,0,0,0,0,0,0
Hellboy: The Science of Evil,2008,47,0,0,0,0,0,0
The King of Fighters Collection: The Orochi Saga,2008,70,0,0,0,0,0,0
Samurai Warriors: Katana,2008,53,0,0,0,0,0,0
Battle of the Bands,2008,58,0,0,0,0,0,0
Hellboy: The Science of Evil,2008,44,0,0,0,0,0,0
Top Spin 3,2008,75,0,0,0,0,0,0
UEFA Euro 2008,2008,79,0,0,0,0,0,0
"Blast Works: Build, Trade, Destroy",2008,78,0,0,0,0,0,0
Space Chimps,2008,57,0,0,0,0,0,0
Line Rider 2: Unbound,2008,59,0,0,0,0,0,0
The King of Fighters Collection: The Orochi Saga,2008,61,0,0,0,0,0,0
Target: Terror,2008,33,0,0,0,0,0,0
Smash Court Tennis 3,2008,55,0,0,0,0,0,0
Master of the Monster Lair,2008,63,0,0,0,0,0,0
Pipe Mania,2008,71,0,0,0,0,0,0
MotoGP 08,2008,65,0,0,0,0,0,0
Let's Tap,2008,70,0,0,0,0,0,0
NHL 2K9,2008,65,0,0,0,0,0,0
Worms: A Space Oddity,2008,64,0,0,0,0,0,0
UEFA Euro 2008,2008,80,0,0,0,0,0,0
New International Track & Field,2008,73,0,0,0,0,0,0
Tropix!,2008,59,0,0,0,0,0,0
Unsolved Crimes,2008,66,0,0,0,0,0,0
Zubo,2008,75,0,0,0,0,0,0
Ford Racing Off Road,2008,47,0,0,0,0,0,0
Space Invaders Extreme,2008,84,0,0,0,0,0,0
Cradle of Rome,2008,63,0,0,0,0,0,0
Hellboy: The Science of Evil,2008,42,0,0,0,0,0,0
Pipe Mania,2008,74,0,0,0,0,0,0
UEFA Euro 2008,2008,68,0,0,0,0,0,0
Hail to the Chimp,2008,52,0,0,0,0,0,0
Fading Shadows,2008,62,0,0,0,0,0,0
Hail to the Chimp,2008,51,0,0,0,0,0,0
Super Dodgeball Brawlers,2008,65,0.683333333,0.683333333,0.683333333,0,0,0
Battle Fantasia,2008,71,1.533333333,1.05,0.683333333,0,0,0
Raiden IV,2008,63,0.866666667,0.833333333,0.783333333,0,0,0
Metal Slug 7,2008,70,2.05,0.983333333,0.916666667,0,0,0
Tetris Party,2008,75,2,2,2,0,0,0
Mortal Kombat vs. DC Universe,2008,76,5.233333333,3,2.066666667,0,0,0
Mortal Kombat vs. DC Universe,2008,72,5.233333333,3,2.066666667,0,0,0
Mushroom Men: The Spore Wars,2008,72,3.75,3,2.25,0,0,0
Bomberman,2008,73,4.133333333,3.2,2.633333333,0,0,0
AC/DC Live: Rock Band - Track Pack,2008,63,4.883333333,3.933333333,2.766666667,0,0,0
AC/DC Live: Rock Band - Track Pack,2008,60,4.883333333,3.933333333,2.766666667,0,0,0
Insecticide,2008,55,4.35,3.7,2.85,0,0,0
Neopets Puzzle Adventure,2008,70,3,3,3,0,0,0
Neopets Puzzle Adventure,2008,52,3,3,3,0,0,0
Nanostray 2,2008,75,3,3,3,0,0,0
The Legend of Kage 2,2008,70,3.333333333,3.333333333,3.333333333,0,0,0
Ninja Gaiden: Dragon Sword,2008,83,6.533333333,5.333333333,3.366666667,0,0,0
